recno,2MASS,UGCS,OName,RAJ2000,DEJ2000,rPos,SpType,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,RV,e_RV,r_RV,U,e_U,V,e_V,W,e_W,Gmag,e_Gmag,GBPmag,e_GBPmag,GRPmag,e_GRPmag,Pop,SimbadName
1,J04034997+2620382,J040349.98+262038.1,XEST 06-006,60.95832,26.343864,Gaia,M5.25,14.212,0.295,-19.389,0.197,6.836,0.183,,,,,,,,,,16.985,0.002,19.369,0.036,15.561,0.004,blue,2MASS J04034997+2620382
2,J04044307+2618563,,IRAS 04016+2610,61.179461,26.315664,2MASS,K3,,,,,,,,,,,,,,,,,,,,,,,2MASS J04044307+2618563
3,J04064443+2540182,J040644.44+254018.1,,61.685215,25.671653,Gaia,M5.75,14.009,0.241,-18.784,0.124,6.506,0.124,,,,,,,,,,16.375,0.001,18.687,0.02,14.956,0.006,blue,2MASS J04064443+2540182
4,J04065134+2541282,,V1195 Tau,61.714057,25.691266,Gaia,K7,12.368,0.253,-18.119,0.088,6.385,0.095,16.01,0.2,1,-16.96,0.26,-12.99,0.24,-8.07,0.11,12.043,0.005,11.896,0.04,10.275,0.025,blue,2MASS J04065134+2541282
5,J04105425+2501266,J041054.25+250126.4,,62.726062,25.024065,2MASS,M2,,,,,,,,,,,,,,,,,,,,,,,2MASS J04105425+2501266
6,J04110081+2717163,J041100.82+271716.1,,62.753392,27.287872,2MASS,M9.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04110081+2717163
7,J04124068+2438157,J041240.69+243815.6,,63.169621,24.637623,Gaia,M3.5,14.258,0.15,-18.838,0.113,6.839,0.084,,,,,,,,,,14.588,0.002,16.328,0.017,13.284,0.004,blue,2MASS J04124068+2438157
8,J04131414+2819108,,LkCa 1,63.30902,28.319526,Gaia,M3.6,8.371,0.138,-24.403,0.094,7.761,0.057,9.57,0.12,1,-10.08,0.14,-12.41,0.11,-9.19,0.08,12.531,0.001,13.998,0.006,11.346,0.004,red,2MASS J04131414+2819108
9,J04132722+2816247,,Anon 1,63.363464,28.273412,Gaia,M0.5,7.44,0.156,-23.835,0.105,7.337,0.068,,,,,,,,,,12.223,0.001,13.748,0.005,11.007,0.003,red,2MASS J04132722+2816247
10,J04135328+2811233,J041353.28+281123.3,IRAS 04108+2803 A,63.472057,28.189686,Gaia,M5,11.323,2.528,-22.677,1.887,6.906,1.008,,,,,,,,,,20.396,0.007,21.486,0.219,18.451,0.053,red,2MASS J04135328+2811233
11,J04135471+2811328,J041354.71+281132.7,IRAS 04108+2803 B,63.477987,28.192472,2MASS,K-M,,,,,,,,,,,,,,,,,,,,,,,2MASS J04135471+2811328
12,J04135737+2918193,,IRAS 04108+2910,63.489117,29.305277,Gaia,M3,9.95,0.294,-22.89,0.141,8.099,0.1,,,,,,,,,,15.137,0.016,16.36,0.049,13.975,0.046,red,2MASS J04135737+2918193
13,J04141188+2811535,J041411.88+281153.3,,63.549554,28.198067,Gaia,M6.25,9.077,0.421,-23.889,0.211,7.628,0.166,,,,,,,,,,17.285,0.013,18.57,0.079,15.892,0.03,red,2MASS J04141188+2811535
14,,J041412.28+280837.1,IRAS 04111+2800G,63.551204,28.143658,UKIDSS,,,,,,,,,,,,,,,,,,,,,,,,
15,J04141291+2812124,,V773 Tau A+B,63.553891,28.203313,Gaia,K4,8.932,0.391,-29.054,0.25,7.805,0.141,16.0,2.5,2,-16.08,2.43,-13.44,0.54,-12.56,0.46,9.984,0.002,10.873,0.006,9.078,0.007,red,2MASS J04141291+2812124
16,J04141358+2812492,,FM Tau,63.556642,28.213552,Gaia,M4.5,8.587,0.103,-24.416,0.067,7.58,0.047,,,,,,,,,,13.619,0.009,14.771,0.046,12.475,0.023,red,2MASS J04141358+2812492
17,J04141458+2827580,,FN Tau,63.560856,28.466027,Gaia,M3.5,9.501,0.145,-23.569,0.108,7.62,0.062,14.9,0.4,3,-15.41,0.41,-11.69,0.14,-9.89,0.05,12.81,0.002,14.526,0.008,11.54,0.006,red,2MASS J04141458+2827580
18,J04141700+2810578,,CW Tau,63.570891,28.182609,Gaia,K3,8.278,0.101,-24.159,0.067,7.55,0.039,13.6,0.1,1,-13.85,0.12,-11.94,0.07,-10.38,0.06,12.928,0.035,13.8,0.129,11.688,0.113,red,2MASS J04141700+2810578
19,J04141760+2806096,,CIDA 1,63.573414,28.10258,Gaia,M5,8.339,0.197,-23.318,0.128,7.37,0.087,16.2,0.7,4,-16.34,0.7,-11.43,0.21,-10.89,0.09,15.67,0.004,17.482,0.03,14.291,0.013,red,2MASS J04141760+2806096
20,J04142626+2806032,,MHO 1,63.609489,28.100795,Gaia,M2.5,5.54,1.098,-27.639,0.742,7.036,0.543,,,,,,,,,,19.357,0.008,21.717,0.199,17.525,0.018,red,2MASS J04142626+2806032
21,J04142639+2805597,,MHO 2,63.610052,28.099789,Gaia,M2.5,8.784,0.441,-25.726,0.291,7.54,0.218,,,,,,,,,,16.989,0.003,20.088,0.07,15.329,0.008,red,2MASS J04142639+2805597
22,J04143054+2805147,,MHO 3,63.627319,28.087285,Gaia,M2.2,2.651,0.393,-24.114,0.254,4.128,0.192,,,,,,,,,,15.868,0.005,18.561,0.052,14.392,0.025,red,2MASS J04143054+2805147
23,J04143062+2807020,J041430.64+280701.9,,63.627608,28.117243,2MASS,M6,,,,,,,,,,,,,,,,,,,,,,,2MASS J04143062+2807020
24,J04144158+2809583,J041441.58+280958.4,,63.673289,28.166201,2MASS,M9.75,,,,,,,,,,,,,,,,,,,,,,,2MASS J04144158+2809583
25,J04144730+2646264,,FP Tau,63.69714,26.773906,Gaia,M2.6,9.48,0.119,-22.688,0.078,7.784,0.052,16.26,0.15,1,-16.27,0.17,-11.17,0.09,-9.96,0.05,12.736,0.002,14.074,0.009,11.59,0.005,red,2MASS J04144730+2646264
26,J04144739+2803055,,XEST 20-066,63.697532,28.051421,Gaia,M5.25,10.157,0.155,-26.128,0.103,7.771,0.077,,,,,,,,,,14.291,0.001,16.362,0.005,12.935,0.002,red,2MASS J04144739+2803055
27,J04144786+2648110,,CX Tau,63.699465,26.802963,Gaia,M2.5,9.025,0.1,-22.451,0.065,7.817,0.04,16.63,0.12,1,-16.54,0.14,-10.75,0.07,-10.14,0.04,12.618,0.001,13.904,0.005,11.494,0.002,red,2MASS J04144786+2648110
28,J04144797+2752346,,LkCa 3 A+B,63.699957,27.876176,Gaia,M2.4,,,,,,,14.97,0.22,5,,,,,,,11.132,0.003,12.354,0.006,10.023,0.004,,2MASS J04144797+2752346
29,J04144928+2812305,,FO Tau A+B,63.705384,28.20837,Gaia,M3.5,10.652,0.709,-21.171,0.527,6.372,0.377,,,,,,,,,,13.397,0.002,15.325,0.015,12.05,0.007,red,2MASS J04144928+2812305
30,J04145234+2805598,,XEST 20-071 A,63.717942,28.099842,Gaia,M3.25,7.995,0.185,-22.161,0.124,7.394,0.092,,,,,,,,,,14.076,0.001,16.352,0.009,12.646,0.004,red,2MASS J04145234+2805598
31,,,XEST 20-071 B,63.718511,28.099849,Gaia,,8.961,0.27,-23.606,0.202,7.378,0.154,,,,,,,,,,15.031,0.002,,,,,red,
32,J04150515+2808462,,CIDA 2,63.771527,28.146021,Gaia,M5.5,8.461,0.259,-24.479,0.197,7.487,0.141,,,,,,,,,,13.672,0.001,15.805,0.005,12.307,0.002,red,2MASS J04150515+2808462
33,J04151471+2800096,J041514.72+280009.3,KPNO 1,63.811385,28.002497,Gaia,M8.5,8.549,1.438,-25.522,1.054,7.882,0.688,,,,,,,,,,20.137,0.006,21.491,0.237,18.456,0.033,red,2MASS J04151471+2800096
34,J04152409+2910434,J041524.11+291043.2,,63.850477,29.17867,Gaia,M7,10.737,0.623,-19.436,0.429,5.969,0.316,,,,,,,,,,18.407,0.002,21.002,0.216,16.771,0.008,blue,2MASS J04152409+2910434
35,J04153452+2913469,J041534.52+291346.6,,63.893859,29.229717,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04153452+2913469
36,J04153566+2847417,J041535.67+284741.4,,63.898674,28.794822,Gaia,M5.5,,,,,,,,,,,,,,,,20.88,0.012,21.243,0.297,18.622,0.049,,2MASS J04153566+2847417
37,J04153916+2818586,,,63.913227,28.316153,Gaia,M3.75,9.248,0.153,-24.384,0.106,7.605,0.081,,,,,,,,,,14.295,0.003,16.406,0.012,12.935,0.009,red,2MASS J04153916+2818586
