,ra,dec,parallax,parallax_error
0,60.95831999999999,26.343864,6.836,0.183
1,61.685215,25.671653,6.506,0.124
2,61.714057,25.691266,6.385,0.095
3,63.169621,24.637623,6.8389999999999995,0.084
4,63.30902,28.319526,7.761,0.057
5,63.363464,28.273412,7.337000000000001,0.068
6,63.47205699999999,28.189686,6.906000000000001,1.008
7,63.48911700000001,29.305277,8.099,0.1
8,63.549554,28.198066999999998,7.627999999999999,0.166
9,63.553891,28.203313,7.805,0.141
10,63.556642000000004,28.213552000000004,7.58,0.047
11,63.56085600000001,28.466027,7.62,0.062
12,63.570891,28.182609000000003,7.55,0.039
13,63.573414,28.10258,7.37,0.087
14,63.609489,28.100795,7.0360000000000005,0.5429999999999999
15,63.610052,28.099789,7.54,0.218
16,63.62731899999999,28.087284999999998,4.128,0.192
17,63.697140000000005,26.773906,7.784,0.052000000000000005
18,63.697531999999995,28.051421,7.771,0.077
19,63.699465000000004,26.802963000000002,7.817,0.04
20,63.705383999999995,28.208370000000002,6.372000000000001,0.377
21,63.717942,28.099842,7.394,0.092
22,63.718511,28.099849,7.377999999999999,0.154
23,63.771527,28.146021,7.487,0.141
24,63.811384999999994,28.002496999999998,7.882000000000001,0.688
25,63.850477000000005,29.17867,5.968999999999999,0.316
26,63.913227,28.316153000000003,7.605,0.081
27,63.922197,29.252124,6.367000000000001,0.135
28,63.927942,29.165484000000003,6.3870000000000005,0.185
29,63.928339,29.166542,6.252000000000001,0.066
30,63.991707999999996,27.771376,7.371,0.107
31,64.050492,27.943914000000003,7.273,0.11699999999999999
32,64.07197,28.286785,7.627000000000001,0.115
33,64.07861700000001,27.870829999999998,7.284,0.14300000000000002
34,64.11714599999999,28.126481,7.702000000000001,0.035
35,64.16306,28.9803,6.247999999999999,0.544
36,64.390579,28.346226,7.7589999999999995,0.044000000000000004
37,64.41230999999999,28.55005,7.676,0.06
38,64.456529,28.225383,7.28,0.11699999999999999
39,64.456941,28.493318,7.75,0.076
40,64.533261,28.434246999999996,8.478,0.183
41,64.54497099999999,25.332504999999998,7.612,0.04
42,64.57131700000001,28.478203999999998,8.04,0.33399999999999996
43,64.626301,27.72229,7.699,0.094
44,64.629661,28.45438,7.667000000000001,0.053
45,64.62974,28.274656,8.125,0.18899999999999997
46,64.669249,28.320883000000002,8.515,0.11599999999999999
47,64.669737,28.321920000000002,7.584,0.381
48,64.67714000000001,28.313761,7.968,0.257
49,64.69599699999999,28.335304999999998,7.9510000000000005,0.152
50,64.713176,28.242476,7.957999999999999,0.306
51,64.742281,28.206386,11.142999999999999,0.584
